coin,date,target,price_change_percent,price_trend_7d,volatility_7d,avg_volume_7d,avg_price_7d,news_volume_change,sentiment_change,positive_change,negative_change,negative_spike,positive_spike,price_sentiment_alignment,divergence
sol,2025-11-17,0,-4.952076743138952,-17.935614162209003,10.137858546959954,5980438902.571428,148.04820707486934,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-18,1,7.585181769454404,-15.327676669550097,7.9860538002281585,6257791118.428572,142.7825182835928,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-19,0,-2.963587024909016,-8.220623063588235,6.44190510405896,6486642254.428572,140.81898500042075,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-20,0,-2.075227217579633,-6.008097671352107,4.077973371745725,6528113194.0,138.424635672314,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-21,0,-3.8317600786172004,-3.8843756017321462,3.2793600007460304,6725341811.142858,136.77428812283188,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-22,0,-0.666188826149369,-7.957107899079838,4.19584229156814,6979146342.285714,135.27160951485715,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-23,1,2.5236667431818383,-7.177948448045425,4.512715274513756,6995598656.285714,133.5625539429738,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
sol,2025-11-24,1,5.746119037761376,0.12272497541484749,4.27812530522348,6863664546.571428,132.61275425774926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sol,2025-11-26,1,2.8173657930616915,1.8847873543635305,4.297864576805696,6292804777.857142,133.48186569373718,1.0,0.019303537905216217,0.0,0.0,0.0,0.0,0.0363830641382286,0.0
sol,2025-11-27,0,-1.4641699169735303,6.975233666740624,5.3943768423579845,6265605443.142858,134.40869675913606,1.0,0.019303537905216217,0.0,0.0,0.0,0.0,0.13464668748366793,0.0
sol,2025-11-28,0,-2.386961941749664,9.608883933980184,5.816454166895818,5570580041.142858,135.44105661807978,2.0,-0.43120670132339,0.0,1.0,0.0,0.0,-4.143415144570914,0.0
